Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,APOLLOTYRE,35148,FUTSTK,XX,-1,APOLLO TYRES LTD,APOLLOTYRE FEB FUT,APOLLOTYRE27FEB25F,2025-02-27,1700,0.05
NFO,nse_fo,ASHOKLEY,35152,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY FEB FUT,ASHOKLEY27FEB25F,2025-02-27,2500,0.01
NFO,nse_fo,ASIANPAINT,35154,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT FEB FUT,ASIANPAINT27FEB25F,2025-02-27,200,0.05
NFO,nse_fo,ASTRAL,35164,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL FEB FUT,ASTRAL27FEB25F,2025-02-27,367,0.05
NFO,nse_fo,ATGL,35176,FUTSTK,XX,-1,ADANI TOTAL GAS LIMITED,ATGL FEB FUT,ATGL27FEB25F,2025-02-27,775,0.05
NFO,nse_fo,ADANIPORTS,35185,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS MAR FUT,ADANIPORTS27MAR25F,2025-03-27,400,0.05
NFO,nse_fo,ALKEM,35187,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM MAR FUT,ALKEM27MAR25F,2025-03-27,100,0.05
NFO,nse_fo,AMBUJACEM,35188,FUTSTK,XX,-1,AMBUJA CEMENTS LTD,AMBUJACEM MAR FUT,AMBUJACEM27MAR25F,2025-03-27,900,0.05
NFO,nse_fo,ANGELONE,35195,FUTSTK,XX,-1,ANGEL ONE LIMITED,ANGELONE MAR FUT,ANGELONE27MAR25F,2025-03-27,200,0.05
NFO,nse_fo,APLAPOLLO,35201,FUTSTK,XX,-1,APL APOLLO TUBES LTD,APLAPOLLO MAR FUT,APLAPOLLO27MAR25F,2025-03-27,350,0.05
NFO,nse_fo,APOLLOHOSP,35203,FUTSTK,XX,-1,APOLLO HOSPITALS ENTER. L,APOLLOHOSP MAR FUT,APOLLOHOSP27MAR25F,2025-03-27,125,0.05
NFO,nse_fo,APOLLOTYRE,35212,FUTSTK,XX,-1,APOLLO TYRES LTD,APOLLOTYRE MAR FUT,APOLLOTYRE27MAR25F,2025-03-27,1700,0.05
NFO,nse_fo,ASHOKLEY,35213,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY MAR FUT,ASHOKLEY27MAR25F,2025-03-27,2500,0.01
NFO,nse_fo,ASIANPAINT,35215,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT MAR FUT,ASIANPAINT27MAR25F,2025-03-27,200,0.05
NFO,nse_fo,ASTRAL,35216,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL MAR FUT,ASTRAL27MAR25F,2025-03-27,367,0.05
NFO,nse_fo,NIFTY,35219,OPTIDX,CE,30000,NIFTY,NIFTY 26th JUN 30000 CE,NIFTY26JUN25C30000,2025-06-26,75,0.05
NFO,nse_fo,NIFTY,35221,OPTIDX,CE,30000,NIFTY,NIFTY 24th DEC 30000 CE,NIFTY24DEC25C30000,2025-12-24,75,0.05
NFO,nse_fo,NIFTY,35222,OPTIDX,PE,30000,NIFTY,NIFTY 24th DEC 30000 PE,NIFTY24DEC25P30000,2025-12-24,75,0.05
NFO,nse_fo,ATGL,35223,FUTSTK,XX,-1,ADANI TOTAL GAS LIMITED,ATGL MAR FUT,ATGL27MAR25F,2025-03-27,775,0.05
NFO,nse_fo,AUBANK,35225,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK MAR FUT,AUBANK27MAR25F,2025-03-27,1000,0.05
NFO,nse_fo,AUROPHARMA,35232,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA MAR FUT,AUROPHARMA27MAR25F,2025-03-27,550,0.05
NFO,nse_fo,AXISBANK,35245,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK MAR FUT,AXISBANK27MAR25F,2025-03-27,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35247,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO MAR FUT,BAJAJ-AUTO27MAR25F,2025-03-27,75,0.05
NFO,nse_fo,BAJAJFINSV,35274,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV MAR FUT,BAJAJFINSV27MAR25F,2025-03-27,500,0.05
NFO,nse_fo,BAJFINANCE,35275,FUTSTK,XX,-1,BAJAJ FINANCE LIMITED,BAJFINANCE MAR FUT,BAJFINANCE27MAR25F,2025-03-27,125,0.05
NFO,nse_fo,ATUL,35282,FUTSTK,XX,-1,ATUL LTD,ATUL FEB FUT,ATUL27FEB25F,2025-02-27,100,0.05
NFO,nse_fo,AUBANK,35295,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK FEB FUT,AUBANK27FEB25F,2025-02-27,1000,0.05
NFO,nse_fo,AUROPHARMA,35296,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA FEB FUT,AUROPHARMA27FEB25F,2025-02-27,550,0.05
NFO,nse_fo,AXISBANK,35310,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK FEB FUT,AXISBANK27FEB25F,2025-02-27,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35311,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO FEB FUT,BAJAJ-AUTO27FEB25F,2025-02-27,75,0.05
NFO,nse_fo,BAJAJFINSV,35312,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV FEB FUT,BAJAJFINSV27FEB25F,2025-02-27,500,0.05
NFO,nse_fo,NIFTYNXT50,35314,OPTIDX,CE,50500,NIFTYNXT50,NIFTYNXT50 MAR 50500 CE,NIFTYNXT5027MAR25C50500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35315,OPTIDX,PE,50500,NIFTYNXT50,NIFTYNXT50 MAR 50500 PE,NIFTYNXT5027MAR25P50500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35318,OPTIDX,CE,51000,NIFTYNXT50,NIFTYNXT50 MAR 51000 CE,NIFTYNXT5027MAR25C51000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35319,OPTIDX,PE,51000,NIFTYNXT50,NIFTYNXT50 MAR 51000 PE,NIFTYNXT5027MAR25P51000,2025-03-27,25,0.05
NFO,nse_fo,BAJFINANCE,35329,FUTSTK,XX,-1,BAJAJ FINANCE LIMITED,BAJFINANCE FEB FUT,BAJFINANCE27FEB25F,2025-02-27,125,0.05
NFO,nse_fo,BALKRISIND,35332,FUTSTK,XX,-1,BALKRISHNA IND. LTD,BALKRISIND MAR FUT,BALKRISIND27MAR25F,2025-03-27,300,0.05
NFO,nse_fo,BANDHANBNK,35333,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK MAR FUT,BANDHANBNK27MAR25F,2025-03-27,2800,0.01
NFO,nse_fo,BALKRISIND,35334,FUTSTK,XX,-1,BALKRISHNA IND. LTD,BALKRISIND FEB FUT,BALKRISIND27FEB25F,2025-02-27,300,0.05
NFO,nse_fo,BANDHANBNK,35335,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK FEB FUT,BANDHANBNK27FEB25F,2025-02-27,2800,0.01
NFO,nse_fo,NIFTYNXT50,35336,OPTIDX,CE,51500,NIFTYNXT50,NIFTYNXT50 MAR 51500 CE,NIFTYNXT5027MAR25C51500,2025-03-27,25,0.05
NFO,nse_fo,BANKBARODA,35345,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA MAR FUT,BANKBARODA27MAR25F,2025-03-27,2925,0.01
NFO,nse_fo,BANKINDIA,35350,FUTSTK,XX,-1,BANK OF INDIA,BANKINDIA MAR FUT,BANKINDIA27MAR25F,2025-03-27,4825,0.01
NFO,nse_fo,BEL,35351,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL MAR FUT,BEL27MAR25F,2025-03-27,2850,0.05
NFO,nse_fo,BERGEPAINT,35356,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT MAR FUT,BERGEPAINT27MAR25F,2025-03-27,1320,0.05
NFO,nse_fo,BHARATFORG,35357,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG MAR FUT,BHARATFORG27MAR25F,2025-03-27,500,0.05
NFO,nse_fo,BHARTIARTL,35358,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL MAR FUT,BHARTIARTL27MAR25F,2025-03-27,475,0.05
NFO,nse_fo,BHEL,35359,FUTSTK,XX,-1,BHEL,BHEL MAR FUT,BHEL27MAR25F,2025-03-27,2625,0.01
NFO,nse_fo,BIOCON,35361,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON MAR FUT,BIOCON27MAR25F,2025-03-27,2500,0.05
NFO,nse_fo,BOSCHLTD,35362,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD MAR FUT,BOSCHLTD27MAR25F,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35367,OPTIDX,PE,51500,NIFTYNXT50,NIFTYNXT50 MAR 51500 PE,NIFTYNXT5027MAR25P51500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35372,OPTIDX,CE,52000,NIFTYNXT50,NIFTYNXT50 MAR 52000 CE,NIFTYNXT5027MAR25C52000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35375,OPTIDX,PE,52000,NIFTYNXT50,NIFTYNXT50 MAR 52000 PE,NIFTYNXT5027MAR25P52000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35376,OPTIDX,CE,52500,NIFTYNXT50,NIFTYNXT50 MAR 52500 CE,NIFTYNXT5027MAR25C52500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35384,OPTIDX,PE,52500,NIFTYNXT50,NIFTYNXT50 MAR 52500 PE,NIFTYNXT5027MAR25P52500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35389,OPTIDX,CE,53000,NIFTYNXT50,NIFTYNXT50 MAR 53000 CE,NIFTYNXT5027MAR25C53000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35392,OPTIDX,PE,53000,NIFTYNXT50,NIFTYNXT50 MAR 53000 PE,NIFTYNXT5027MAR25P53000,2025-03-27,25,0.05
NFO,nse_fo,BANKBARODA,35393,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA FEB FUT,BANKBARODA27FEB25F,2025-02-27,2925,0.01
NFO,nse_fo,NIFTYNXT50,35394,OPTIDX,CE,53500,NIFTYNXT50,NIFTYNXT50 MAR 53500 CE,NIFTYNXT5027MAR25C53500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35396,OPTIDX,PE,53500,NIFTYNXT50,NIFTYNXT50 MAR 53500 PE,NIFTYNXT5027MAR25P53500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35397,OPTIDX,CE,54000,NIFTYNXT50,NIFTYNXT50 MAR 54000 CE,NIFTYNXT5027MAR25C54000,2025-03-27,25,0.05
NFO,nse_fo,BPCL,35400,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL MAR FUT,BPCL27MAR25F,2025-03-27,1800,0.05
NFO,nse_fo,BRITANNIA,35401,FUTSTK,XX,-1,BRITANNIA INDUSTRIES LTD,BRITANNIA MAR FUT,BRITANNIA27MAR25F,2025-03-27,100,0.05
NFO,nse_fo,BSE,35403,FUTSTK,XX,-1,BSE LIMITED,BSE MAR FUT,BSE27MAR25F,2025-03-27,125,0.05
NFO,nse_fo,BSOFT,35404,FUTSTK,XX,-1,BIRLASOFT LIMITED,BSOFT MAR FUT,BSOFT27MAR25F,2025-03-27,1000,0.05
NFO,nse_fo,CAMS,35405,FUTSTK,XX,-1,COMPUTER AGE MNGT SER LTD,CAMS MAR FUT,CAMS27MAR25F,2025-03-27,125,0.05
NFO,nse_fo,CANBK,35406,FUTSTK,XX,-1,CANARA BANK,CANBK MAR FUT,CANBK27MAR25F,2025-03-27,6750,0.01
NFO,nse_fo,CDSL,35410,FUTSTK,XX,-1,CENTRAL DEPO SER (I) LTD,CDSL MAR FUT,CDSL27MAR25F,2025-03-27,350,0.05
NFO,nse_fo,CESC,35411,FUTSTK,XX,-1,CESC LTD,CESC MAR FUT,CESC27MAR25F,2025-03-27,2925,0.01
NFO,nse_fo,NIFTYNXT50,35413,OPTIDX,PE,54000,NIFTYNXT50,NIFTYNXT50 MAR 54000 PE,NIFTYNXT5027MAR25P54000,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35416,OPTIDX,CE,10100,MIDCPNIFTY,MIDCPNIFTY MAR 10100 CE,MIDCPNIFTY27MAR25C10100,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35417,OPTIDX,PE,10100,MIDCPNIFTY,MIDCPNIFTY MAR 10100 PE,MIDCPNIFTY27MAR25P10100,2025-03-27,120,0.05
NFO,nse_fo,BANKINDIA,35421,FUTSTK,XX,-1,BANK OF INDIA,BANKINDIA FEB FUT,BANKINDIA27FEB25F,2025-02-27,4825,0.01
NFO,nse_fo,BATAINDIA,35422,FUTSTK,XX,-1,BATA INDIA LTD,BATAINDIA FEB FUT,BATAINDIA27FEB25F,2025-02-27,375,0.05
NFO,nse_fo,BEL,35423,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL FEB FUT,BEL27FEB25F,2025-02-27,2850,0.05
NFO,nse_fo,CGPOWER,35427,FUTSTK,XX,-1,CG POWER AND IND SOL LTD,CGPOWER MAR FUT,CGPOWER27MAR25F,2025-03-27,725,0.05
NFO,nse_fo,CHAMBLFERT,35428,FUTSTK,XX,-1,CHAMBAL FERTILIZERS LTD,CHAMBLFERT MAR FUT,CHAMBLFERT27MAR25F,2025-03-27,1900,0.05
NFO,nse_fo,MIDCPNIFTY,35431,OPTIDX,CE,10200,MIDCPNIFTY,MIDCPNIFTY MAR 10200 CE,MIDCPNIFTY27MAR25C10200,2025-03-27,120,0.05
NFO,nse_fo,CHOLAFIN,35432,FUTSTK,XX,-1,CHOLAMANDALAM IN & FIN CO,CHOLAFIN MAR FUT,CHOLAFIN27MAR25F,2025-03-27,625,0.05
NFO,nse_fo,BERGEPAINT,35434,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT FEB FUT,BERGEPAINT27FEB25F,2025-02-27,1320,0.05
NFO,nse_fo,NIFTYNXT50,35436,OPTIDX,CE,54500,NIFTYNXT50,NIFTYNXT50 MAR 54500 CE,NIFTYNXT5027MAR25C54500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35439,OPTIDX,PE,54500,NIFTYNXT50,NIFTYNXT50 MAR 54500 PE,NIFTYNXT5027MAR25P54500,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35440,OPTIDX,PE,10200,MIDCPNIFTY,MIDCPNIFTY MAR 10200 PE,MIDCPNIFTY27MAR25P10200,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35441,OPTIDX,CE,10300,MIDCPNIFTY,MIDCPNIFTY MAR 10300 CE,MIDCPNIFTY27MAR25C10300,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35446,OPTIDX,PE,10300,MIDCPNIFTY,MIDCPNIFTY MAR 10300 PE,MIDCPNIFTY27MAR25P10300,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35447,OPTIDX,CE,10400,MIDCPNIFTY,MIDCPNIFTY MAR 10400 CE,MIDCPNIFTY27MAR25C10400,2025-03-27,120,0.05
NFO,nse_fo,BHARATFORG,35450,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG FEB FUT,BHARATFORG27FEB25F,2025-02-27,500,0.05
NFO,nse_fo,BHARTIARTL,35451,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL FEB FUT,BHARTIARTL27FEB25F,2025-02-27,475,0.05
NFO,nse_fo,BHEL,35453,FUTSTK,XX,-1,BHEL,BHEL FEB FUT,BHEL27FEB25F,2025-02-27,2625,0.01
NFO,nse_fo,BIOCON,35454,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON FEB FUT,BIOCON27FEB25F,2025-02-27,2500,0.05
NFO,nse_fo,BOSCHLTD,35455,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD FEB FUT,BOSCHLTD27FEB25F,2025-02-27,25,0.05
NFO,nse_fo,BPCL,35456,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL FEB FUT,BPCL27FEB25F,2025-02-27,1800,0.05
NFO,nse_fo,BRITANNIA,35457,FUTSTK,XX,-1,BRITANNIA INDUSTRIES LTD,BRITANNIA FEB FUT,BRITANNIA27FEB25F,2025-02-27,100,0.05
NFO,nse_fo,MIDCPNIFTY,35460,OPTIDX,PE,10400,MIDCPNIFTY,MIDCPNIFTY MAR 10400 PE,MIDCPNIFTY27MAR25P10400,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35461,OPTIDX,CE,10500,MIDCPNIFTY,MIDCPNIFTY MAR 10500 CE,MIDCPNIFTY27MAR25C10500,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35462,OPTIDX,PE,10500,MIDCPNIFTY,MIDCPNIFTY MAR 10500 PE,MIDCPNIFTY27MAR25P10500,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35463,OPTIDX,CE,10600,MIDCPNIFTY,MIDCPNIFTY MAR 10600 CE,MIDCPNIFTY27MAR25C10600,2025-03-27,120,0.05
NFO,nse_fo,NIFTYNXT50,35482,OPTIDX,CE,55000,NIFTYNXT50,NIFTYNXT50 MAR 55000 CE,NIFTYNXT5027MAR25C55000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35483,OPTIDX,PE,55000,NIFTYNXT50,NIFTYNXT50 MAR 55000 PE,NIFTYNXT5027MAR25P55000,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35484,OPTIDX,PE,10600,MIDCPNIFTY,MIDCPNIFTY MAR 10600 PE,MIDCPNIFTY27MAR25P10600,2025-03-27,120,0.05
NFO,nse_fo,NIFTYNXT50,35487,OPTIDX,CE,55500,NIFTYNXT50,NIFTYNXT50 MAR 55500 CE,NIFTYNXT5027MAR25C55500,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35490,OPTIDX,CE,10700,MIDCPNIFTY,MIDCPNIFTY MAR 10700 CE,MIDCPNIFTY27MAR25C10700,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35491,OPTIDX,PE,10700,MIDCPNIFTY,MIDCPNIFTY MAR 10700 PE,MIDCPNIFTY27MAR25P10700,2025-03-27,120,0.05
NFO,nse_fo,NIFTYNXT50,35492,OPTIDX,PE,55500,NIFTYNXT50,NIFTYNXT50 MAR 55500 PE,NIFTYNXT5027MAR25P55500,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35497,OPTIDX,CE,10800,MIDCPNIFTY,MIDCPNIFTY MAR 10800 CE,MIDCPNIFTY27MAR25C10800,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35498,OPTIDX,PE,10800,MIDCPNIFTY,MIDCPNIFTY MAR 10800 PE,MIDCPNIFTY27MAR25P10800,2025-03-27,120,0.05
NFO,nse_fo,NIFTYNXT50,35505,OPTIDX,CE,56000,NIFTYNXT50,NIFTYNXT50 MAR 56000 CE,NIFTYNXT5027MAR25C56000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35506,OPTIDX,PE,56000,NIFTYNXT50,NIFTYNXT50 MAR 56000 PE,NIFTYNXT5027MAR25P56000,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35512,OPTIDX,CE,56500,NIFTYNXT50,NIFTYNXT50 MAR 56500 CE,NIFTYNXT5027MAR25C56500,2025-03-27,25,0.05
NFO,nse_fo,NIFTYNXT50,35521,OPTIDX,PE,56500,NIFTYNXT50,NIFTYNXT50 MAR 56500 PE,NIFTYNXT5027MAR25P56500,2025-03-27,25,0.05
NFO,nse_fo,CIPLA,35524,FUTSTK,XX,-1,CIPLA LTD,CIPLA MAR FUT,CIPLA27MAR25F,2025-03-27,325,0.05
NFO,nse_fo,FINNIFTY,35525,FUTIDX,XX,-1,FINNIFTY,FINNIFTY FEB FUT,FINNIFTY27FEB25F,2025-02-27,65,0.05
NFO,nse_fo,COALINDIA,35533,FUTSTK,XX,-1,COAL INDIA LTD,COALINDIA MAR FUT,COALINDIA27MAR25F,2025-03-27,1050,0.05
NFO,nse_fo,NIFTYNXT50,35534,OPTIDX,CE,56700,NIFTYNXT50,NIFTYNXT50 MAR 56700 CE,NIFTYNXT5027MAR25C56700,2025-03-27,25,0.05
NFO,nse_fo,MIDCPNIFTY,35535,OPTIDX,CE,10900,MIDCPNIFTY,MIDCPNIFTY MAR 10900 CE,MIDCPNIFTY27MAR25C10900,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35536,OPTIDX,PE,10900,MIDCPNIFTY,MIDCPNIFTY MAR 10900 PE,MIDCPNIFTY27MAR25P10900,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35537,OPTIDX,CE,10925,MIDCPNIFTY,MIDCPNIFTY MAR 10925 CE,MIDCPNIFTY27MAR25C10925,2025-03-27,120,0.05
NFO,nse_fo,MIDCPNIFTY,35539,OPTIDX,PE,10925,MIDCPNIFTY,MIDCPNIFTY MAR 10925 PE,MIDCPNIFTY27MAR25P10925,2025-03-27,120,0.05
